G_exp,clase_0_inf,clase_0_sup,clase_1_inf,clase_1_sup,clase_2_inf,clase_2_sup
0,-0.15,0.15,-0.3,0.3,-0.5,0.5
0.125,-0.15,0.2,-0.3,0.4,-0.5,0.6
0.25,-0.15,0.4,-0.3,0.6,-0.5,0.8
0.375,-0.15,1.1,-0.3,1.3,-0.5,1.6
0.5,2.3,4.5,2,5,1.6,5.5
1,18,100,17.5,100,16.5,100
2,42.5,100,42,100,41,100
3,62,100,61,100,55,100
4,75,100,70,100,60,100
-0.125,-0.15,0.2,-0.3,0.4,-0.5,0.6
-0.25,-0.15,0.4,-0.3,0.6,-0.5,0.8
-0.375,-0.15,1.1,-0.3,1.3,-0.5,1.6
-0.5,2.3,4.5,2,5,1.6,5.5
-1,18,100,17.5,100,16.5,100
-2,42.5,100,42,100,41,100
-3,62,100,61,100,55,100
-4,75,100,70,100,60,100
